Notice: Tableau 1
Ce tableur comprend les annexes au rapport méthodologique sur les produits alimentaires  AGRIBALYSE. ;;;;
;;;;
www.agribalyse.fr;;;;
;;;;
La base de données est propriétée de l'ADEME, elle est pilotée au sein du GIS Revalim.;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
Sommaire : ;;Summary :;;
1;Mix de consommation de matières premières – origine des produits;Raw material consumption mix – origin of raw mareial;;
2;Mix de consommation des matière premières pour les aliments les plus emblématiques consommés en France, source de données et années;Consumption mixes of raw materials for the most emblematic foods consumed in France, data source and years;;
3;Parts non comestibles – matière première végétale et oeufs;Inedible parts – vegetable, fruits, nuts and eggs;;
4;Poissons et crustacés : proxy utilisés et parts non comestibles;Fish and shellfish: proxies used and inedible parts;;
5;Poissons et crustacés : jeux de données exclus et  jeux de données ajouté dans AGRIBALYSE 3.0;Fish and shellfish: datasets excluded and datasets added in AGRIBALYSE 3.0;;
6;Densités utilisées;Densities used;;
7;Calcul des volumes d’eau évaporés par le processus de séchage ;Calculation of water volumes evaporated by the drying process ;;
8;Rendements utilisés pour les fromages;Yields used for cheeses;;
9;Recettes utilisées pour les produits CIQUAL : sources;Recipes used for CIQUAL products: sources;;
10;Produits CIQUAL approchés par d'autres recettes / produits CIQUAL;CIQUAL products approached by other CIQUAL recipes / products;;
11;Produits CIQUAL non présents dans Agribalyse;CIQUAL products not present in Agribalyse;;
12;Liste des dummy (données vides);List of dummy (empty data);;

1. Consumption mix: Tableau 1
Mix de consommation de matières premières – origine des produits;;;;;;
;;;;;;
Input/Output;Name of consumption mix;Name of input/output;Quantity;Unit;Comment on proxys / origins;
Output;Bresse blue cheese, from cow's milk, consumption mix {FR} U;Bresse blue cheese, from cow's milk, consumption mix {FR} U;1,0;kg;;
Input;Bresse blue cheese, from cow's milk, consumption mix {FR} U;Bresse blue cheese production, from cow's milk, soft cheese, French production mix, at plant, 1 kg of Bresse blue soft cheese (PGi) {FR} U;1,0;kg;;
Output;Bresse blue cheese, from cow's milk, reduced fat, around 15%fat, consumption mix {FR} U;Bresse blue cheese, from cow's milk, reduced fat, around 15%fat, consumption mix {FR} U;1,0;kg;;
Input;Bresse blue cheese, from cow's milk, reduced fat, around 15%fat, consumption mix {FR} U;Bresse blue cheese, reduced fat, around 15% fat production, from cow's milk, soft cheese, French production mix, at plant, 1 kg of Bresse blue soft cheese (PGi) {FR} U;1,0;kg;;
Output;Brie cheese, from cow's milk, consumption mix {FR} U;Brie cheese, from cow's milk, consumption mix {FR} U;1,0;kg;;
Input;Brie cheese, from cow's milk, consumption mix {FR} U;Brie cheese production, from cow's milk, soft cheese, French production mix, at plant, 1 kg of Brie soft cheese (PGi) {FR} U;1,0;kg;;
Output;Brie de meaux cheese, from cow's milk, consumption mix {FR} U;Brie de meaux cheese, from cow's milk, consumption mix {FR} U;1,0;kg;;
Input;Brie de meaux cheese, from cow's milk, consumption mix {FR} U;Brie de meaux cheese production, from cow's milk, soft cheese, French production mix, at plant, 1 kg of Brie de meaux soft cheese (PGi) {FR} U;1,0;kg;;
Output;Brie de melun cheese, from cow's milk, consumption mix {FR} U;Brie de melun cheese, from cow's milk, consumption mix {FR} U;1,0;kg;;
Input;Brie de melun cheese, from cow's milk, consumption mix {FR} U;Brie de melun cheese production, from cow's milk, soft cheese, French production mix, at plant, 1 kg of Brie de melun soft cheese (PGi) {FR} U;1,0;kg;;
Output;Broad beans, consumption mix {FR} U;Broad beans, consumption mix {FR} U;1,0;kg;;
Input;Broad beans, consumption mix {FR} U;Fava bean, Swiss integrated production {CH}| fava bean production, Swiss integrated production, at farm | Cut-off, U - Adapted from Ecoinvent U;1,0;kg;;
Output;Broccoli, consumption mix {FR} U;Broccoli, consumption mix {FR} U;1,0;kg;;
Input;Broccoli, consumption mix {FR} U;Broccoli {GLO}| production | Cut-off, U - Adapted from Ecoinvent U;1,0;kg;GLO used as a substitute for FR;
Output;Brown bullhead, consumption mix {FR} U;Brown bullhead, consumption mix {FR} U;1,0;kg;;
Input;Brown bullhead, consumption mix {FR} U;Sea bass or sea bream, 200-500g, conventional, in cage, at farm gate {FR} U;0,3;kg;EU process assumed to be the same as French;
Input;Brown bullhead, consumption mix {FR} U;Sea bass or sea bream, 200-500g, conventional, in cage, at farm gate {FR} U;0,3;kg;Non-EU process assumed to be the same as French;
Input;Brown bullhead, consumption mix {FR} U;Sea bass or sea bream, 200-500g, conventional, in cage, at farm gate {FR} U;0,4;kg;;
Output;Brown crab, consumption mix {FR} U;Brown crab, consumption mix {FR} U;1,0;kg;;
Input;Brown crab, consumption mix {FR} U;Brown crab, 1 kg of product, at landing {GB} U;0,4;kg;The majority of the brown crabs are imported alive (not frozen, not cooked). Source : https://blogs.exeter.ac.uk/foodsystemimpactscv19/blog/2021/07/28/brown-crab-and-the-triple-challenge-of-cadmium-covid-and-brexit/ We only model live crabs in this dataset. Source for the origins :https://www.franceagrimer.fr/fam/content/download/60556/document/BIL-MER-commerce_extérieur-A17.pdf?version=4. Source for French data : https://pdm-seafoodmag.com/guide/crustaces/details/product/Tourteau.html 45,2% of the crabs come from GB. 25% of them are catched during lobster fishery, and 75% of them are catched separately. Source : https://www.researchgate.net/publication/237612664_The_Brown_Crab_Cancer_pagurus_L_Fishery_Analysis_of_the_resource_in_2004-2005/link/0c9605302251ac8dd9000000/download Taking crab losses into account : 5% of landed crab biomass is lost prior to delivery to the customer. Lobster data is used as substitute for crab data. Source : Driscoll, J., Boyd, C., & Tyedmers, P. (2015).;
Input;Brown crab, consumption mix {FR} U;Brown crab, 1 kg of product, at landing {IE} U;0,3;kg;The majority of the brown crabs are imported alive (not frozen, not cooked). Source :  https://blogs.exeter.ac.uk/foodsystemimpactscv19/blog/2021/07/28/brown-crab-and-the-triple-challenge-of-cadmium-covid-and-brexit/ We only model live crabs in this dataset. Source for the origins : https://www.franceagrimer.fr/fam/content/download/60556/document/BIL-MER-commerce_extŽrieur-A17.pdf?version=4. Source for French data : https://pdm-seafoodmag.com/guide/crustaces/details/product/Tourteau.html 41,6% of the crabs come from Ireland. 25% of them are catched during lobster fishery, and 75% of them are catched separately. Source : https://www.researchgate.net/publication/237612664_The_Brown_Crab_Cancer_pagurus_L_Fishery_Analysis_of_the_resource_in_2004-2005/link/0c9605302251ac8dd9000000/download  Taking crab losses into account : 5% of landed crab biomass is lost prior to delivery to the customer. Lobster data is used as substitute for crab data. Source : Driscoll, J., Boyd, C., & Tyedmers, P. (2015). Life cycle assessment of the Maine and southwest Nova Scotia lobster industries. Fisheries Research, 172, 385à;
Input;Brown crab, consumption mix {FR} U;Brown crab, 1 kg of product, at landing {FR} U;0,1;kg;The majority of the brown crabs are imported alive (not frozen, not cooked). Source :  https://blogs.exeter.ac.uk/foodsystemimpactscv19/blog/2021/07/28/brown-crab-and-the-triple-challenge-of-cadmium-covid-and-brexit/ We only model live crabs in this dataset. Source for the origins : https://www.franceagrimer.fr/fam/content/download/60556/document/BIL-MER-commerce_extŽrieur-A17.pdf?version=4. Source for French data : https://pdm-seafoodmag.com/guide/crustaces/details/product/Tourteau.html 13,2% of the crabs come from France. 25% of them are catched during lobster fishery, and 75% of them are catched separately. Source : https://www.researchgate.net/publication/237612664_The_Brown_Crab_Cancer_pagurus_L_Fishery_Analysis_of_the_resource_in_2004-2005/link/0c9605302251ac8dd9000000/download  Taking crab losses into account : 5% of landed crab biomass is lost prior to delivery to the customer. Lobster data is used as substitute for crab data. Source : Driscoll, J., Boyd, C., & Tyedmers, P. (2015). Life cycle assessment of the Maine and southwest Nova Scotia lobster industries. Fisheries Research, 172, 385à;
Input;Brown crab, consumption mix {FR} U;Brown crab, from lobster fishing, 1 kg of product, at landing {GB} U;0,1;kg;Brown crab from lobster fishery (by-catch). By-catch rates of crab in the lobster fishery are 25% of targeted crab. Source : https://www.researchgate.net/publication/237612664_The_Brown_Crab_Cancer_pagurus_L_Fishery_Analysis_of_the_resource_in_2004-2005/link/0c9605302251ac8dd9000000/download;
Input;Brown crab, consumption mix {FR} U;Brown crab, from lobster fishing, 1 kg of product, at landing {IE} U;0,1;kg;Brown crab from lobster fishery (by-catch). By-catch rates of crab in the lobster fishery are 25% of targeted crab. Source : https://www.researchgate.net/publication/237612664_The_Brown_Crab_Cancer_pagurus_L_Fishery_Analysis_of_the_resource_in_2004-2005/link/0c9605302251ac8dd9000000/download;
Input;Brown crab, consumption mix {FR} U;Brown crab, from lobster fishing, 1 kg of product, at landing {FR} U;0,0;kg;Brown crab from lobster fishery (by-catch). By-catch rates of crab in the lobster fishery are 25% of targeted crab. Source : https://www.researchgate.net/publication/237612664_The_Brown_Crab_Cancer_pagurus_L_Fishery_Analysis_of_the_resource_in_2004-2005/link/0c9605302251ac8dd9000000/download;
Output;Brown meagre, consumption mix {FR} U;Brown meagre, consumption mix {FR} U;1,0;kg;;
Input;Brown meagre, consumption mix {FR} U;Bluefin Tuna, Thunnus thynnus, MedSea, Longline, average, at landing {FR} U;0,3;kg;EU process assumed to be the same as French;
Input;Brown meagre, consumption mix {FR} U;Bluefin Tuna, Thunnus thynnus, MedSea, Longline, average, at landing {FR} U;0,3;kg;Non-EU process assumed to be the same as French;
Input;Brown meagre, consumption mix {FR} U;Bluefin Tuna, Thunnus thynnus, MedSea, Longline, average, at landing {FR} U;0,4;kg;;
Output;Brown sugar, production, consumption mix {FR} U;Brown sugar, production, consumption mix {FR} U;1,0;kg;;
Input;Brown sugar, production, consumption mix {FR} U;Sugar, from sugarcane {GLO}| market for | Cut-off, S - Copied from Ecoinvent U;1,0;kg;RoW used as a proxy for FR;
Output;Brussels sprout, consumption mix {FR} U;Brussels sprout, consumption mix {FR} U;1,0;kg;;
Input;Brussels sprout, consumption mix {FR} U;Cauliflower, conventional, national average, at farm gate {FR} U;1,0;kg;;
Output;Buckwheat, consumption mix {FR} U;Buckwheat, consumption mix {FR} U;1,0;kg;;
Input;Buckwheat, consumption mix {FR} U;Durum wheat grain, conventional, national average, at farm gate {FR} U;1,0;kg;;
Output;Buckwheat, consumption mix {IT} U;Buckwheat, consumption mix {IT} U;1,0;kg;;
Input;Buckwheat, consumption mix {IT} U;Durum wheat grain, conventional, national average, at farm gate {FR} U;1,0;kg;FR used as a substitute for PL - Consumption mixes data from Blonk Consultants;
Output;Butter bean, consumption mix {FR} U;Butter bean, consumption mix {FR} U;1,0;kg;;
Input;Butter bean, consumption mix {FR} U;French bean, conventional, national average, at farm gate {FR} U;1,0;kg;;
Output;Camembert cheese, from cow's milk, consumption mix {FR} U;Camembert cheese, from cow's milk, consumption mix {FR} U;1,0;kg;;
Input;Camembert cheese, from cow's milk, consumption mix {FR} U;Camembert cheese production, from cow's milk, soft cheese, French production mix, at plant, 1 kg of Camembert soft cheese (PGi) {FR} U;1,0;kg;;
Output;Camembert cheese, from cow's milk, from raw milk, consumption mix {FR} U;Camembert cheese, from cow's milk, from raw milk, consumption mix {FR} U;1,0;kg;;
Input;Camembert cheese, from cow's milk, from raw milk, consumption mix {FR} U;Camembert cheese production, from cow's milk, from raw milk, soft cheese, French production mix, at plant, 1 kg of Camembert soft cheese (PGi) {FR} U;1,0;kg;;
Output;Cantal cheese, half matured, from cow's milk, consumption mix {FR} U;Cantal cheese, half matured, from cow's milk, consumption mix {FR} U;1,0;kg;;
Input;Cantal cheese, half matured, from cow's milk, consumption mix {FR} U;Cantal cheese, half matured, cheese production, from cow's milk, hard cheese, French production mix, at plant, 1 kg of Cantal cheese, half mature (PGi) {FR} U;1,0;kg;;
Output;Cantal, Salers or Laguiole cheese, from cow's milk, consumption mix {FR} U;Cantal, Salers or Laguiole cheese, from cow's milk, consumption mix {FR} U;1,0;kg;;
Input;Cantal, Salers or Laguiole cheese, from cow's milk, consumption mix {FR} U;Salers cheese production, from cow's milk, hard cheese, French production mix, at plant, 1 kg of salers cheese (PGi) {FR} U;1,0;kg;;
Output;Capelin, consumption mix {FR} U;Capelin, consumption mix {FR} U;1,0;kg;;
Input;Capelin, consumption mix {FR} U;Albacore, Thunnus alalunga, NEA, Pelagic trawl, average, at landing {FR} U;0,3;kg;EU process assumed to be the same as French;
Input;Capelin, consumption mix {FR} U;Albacore, Thunnus alalunga, NEA, Pelagic trawl, average, at landing {FR} U;0,3;kg;Non-EU process assumed to be the same as French;
Input;Capelin, consumption mix {FR} U;Albacore, Thunnus alalunga, NEA, Pelagic trawl, average, at landing {FR} U;0,4;kg;;
Output;Carambola, consumption mix {FR} U;Carambola, consumption mix {FR} U;1,0;kg;;
Input;Carambola, consumption mix {FR} U;Mango, conventional, Val de San Francisco, at orchard {BR} U;1,0;kg;;
Output;Caraway, consumption mix {FR} U;Caraway, consumption mix {FR} U;1,0;kg;;
Input;Caraway, consumption mix {FR} U;Black pepper, dried, consumption mix {FR} U;1,0;kg;;
Output;Cardamom, consumption mix {FR} U;Cardamom, consumption mix {FR} U;1,0;kg;;
Input;Cardamom, consumption mix {FR} U;Black pepper, dried, consumption mix {FR} U;1,0;kg;;
Output;Cardoon, consumption mix {FR} U;Cardoon, consumption mix {FR} U;1,0;kg;;
Input;Cardoon, consumption mix {FR} U;Cauliflower, conventional, national average, at farm gate {FR} U;1,0;kg;;
Output;Carp, consumption mix {FR} U;Carp, consumption mix {FR} U;1,0;kg;;
Input;Carp, consumption mix {FR} U;Large trout, 2-4kg, conventional, at farm gate {FR} U;0,3;kg;EU process assumed to be the same as French;
Input;Carp, consumption mix {FR} U;Large trout, 2-4kg, conventional, at farm gate {FR} U;0,3;kg;Non-EU process assumed to be the same as French;
Input;Carp, consumption mix {FR} U;Large trout, 2-4kg, conventional, at farm gate {FR} U;0,4;kg;;
Output;Carre de l'Est cheese, from cow's milk, consumption mix {FR} U;Carre de l'Est cheese, from cow's milk, consumption mix {FR} U;1,0;kg;;
Input;Carre de l'Est cheese, from cow's milk, consumption mix {FR} U;Carre de l'Est cheese production, from cow's milk, soft cheese, French production mix, at plant, 1 kg of Carre de l'Est soft cheese (PGi) {FR} U;1,0;kg;;
Output;Carrot juice, pure juice, consumption mix {FR} U;Carrot juice, pure juice, consumption mix {FR} U;1,0;kg;;
Input;Carrot juice, pure juice, consumption mix {FR} U;Carrot juice, pure juice, at plant {FR} U;1,0;kg;"Table carrots consumption mix used as substitute for carrot juice consumption mix. The transport from France to France is already taken into account in the dataset arrot juice, pure juice, at processing/FR U"".""";
Output;Carrot, consumption mix {FR} U;Carrot, consumption mix {FR} U;1,0;kg;;
Input;Carrot, consumption mix {FR} U;Carrot, conventional, national average, at farm gate {FR} U;1,0;kg;;
Output;Carrot, for processed products, consumption mix {FR} U;Carrot, for processed products, consumption mix {FR} U;1,0;kg;;
Input;Carrot, for processed products, consumption mix {FR} U;Carrot, conventional, national average, at farm gate {FR} U;0,5;kg;50% from FR;
Input;Carrot, for processed products, consumption mix {FR} U;Carrot {NL}| carrot production | Cut-off, U - Adapted from Ecoinvent U;0,5;kg;50% from EU - NL for EU;
Output;Cashew nut, consumption mix {FR} U;Cashew nut, consumption mix {FR} U;1,0;kg;;
Input;Cashew nut, consumption mix {FR} U;Peanut {CN}| peanut production | Cut-off, U - Adapted from Ecoinvent U;0,4;kg;CN used as a substitute for VN;
Input;Cashew nut, consumption mix {FR} U;Peanut {RoW}| peanut production | Cut-off, U - Adapted from Ecoinvent U;0,2;kg;RoW used as a substitute for CI;
Input;Cashew nut, consumption mix {FR} U;Peanut {RoW}| peanut production | Cut-off, U - Adapted from Ecoinvent U;0,1;kg;RoW used as a substitute for GW;
Input;Cashew nut, consumption mix {FR} U;Peanut {RoW}| peanut production | Cut-off, U - Adapted from Ecoinvent U;0,1;kg;RoW used as a substitute for PH;
Input;Cashew nut, consumption mix {FR} U;Peanut {RoW}| peanut production | Cut-off, U - Adapted from Ecoinvent U;0,1;kg;RoW used as a substitute for TZ;
Input;Cashew nut, consumption mix {FR} U;Peanut {IN}| peanut production | Cut-off, U - Adapted from Ecoinvent U;0,2;kg;;
Output;Cassava, consumption mix {FR} U;Cassava, consumption mix {FR} U;1,0;kg;;
Input;Cassava, consumption mix {FR} U;Carrot {RoW}| carrot production | Cut-off, U - Copied from Ecoinvent U;0,1;kg;RoW used as a substitute for AO;
Input;Cassava, consumption mix {FR} U;Carrot {RoW}| carrot production | Cut-off, U - Copied from Ecoinvent U;0,1;kg;RoW used as a substitute for BR;
Input;Cassava, consumption mix {FR} U;Carrot {RoW}| carrot production | Cut-off, U - Copied from Ecoinvent U;0,1;kg;RoW used as a substitute for CD;
Input;Cassava, consumption mix {FR} U;Carrot {RoW}| carrot production | Cut-off, U - Copied from Ecoinvent U;0,1;kg;RoW used as a substitute for GH;
Input;Cassava, consumption mix {FR} U;Carrot {RoW}| carrot production | Cut-off, U - Copied from Ecoinvent U;0,1;kg;RoW used as a substitute for ID;
Input;Cassava, consumption mix {FR} U;Carrot {RoW}| carrot production | Cut-off, U - Copied from Ecoinvent U;0,0;kg;RoW used as a substitute for IN;
Input;Cassava, consumption mix {FR} U;Carrot {RoW}| carrot production | Cut-off, U - Copied from Ecoinvent U;0,2;kg;RoW used as a substitute for NG;
Input;Cassava, consumption mix {FR} U;Carrot {RoW}| carrot production | Cut-off, U - Copied from Ecoinvent U;0,1;kg;RoW used as a substitute for TH;
Input;Cassava, consumption mix {FR} U;Carrot {RoW}| carrot production | Cut-off, U - Copied from Ecoinvent U;0,1;kg;RoW used as a substitute for VN;
Output;Cauliflower, consumption mix {FR} U;Cauliflower, consumption mix {FR} U;1,0;kg;;
Input;Cauliflower, consumption mix {FR} U;Cauliflower, conventional, national average, at farm gate {FR} U;1,0;kg;;
Output;Causses blue cheese, from cow's milk, consumption mix {FR} U;Causses blue cheese, from cow's milk, consumption mix {FR} U;1,0;kg;;
Input;Causses blue cheese, from cow's milk, consumption mix {FR} U;Causses blue cheese production, from cow's milk, soft cheese, French production mix, at plant, 1 kg of Causses blue cheese soft cheese (PGi) {FR} U;1,0;kg;;
Output;Celeriac, consumption mix {FR} U;Celeriac, consumption mix {FR} U;1,0;kg;;
Input;Celeriac, consumption mix {FR} U;Carrot, conventional, national average, at farm gate {FR} U;1,0;kg;;
Output;Celery, consumption mix {FR} U;Celery, consumption mix {FR} U;1,0;kg;;
Input;Celery, consumption mix {FR} U;Celery {GLO}| 675 production | Cut-off, U - Adapted from Ecoinvent U;1,0;kg;;
Output;Chabichou cheese, from goat's milk, consumption mix {FR} U;Chabichou cheese, from goat's milk, consumption mix {FR} U;1,0;kg;;
Input;Chabichou cheese, from goat's milk, consumption mix {FR} U;Chabichou cheese production, from goat's milk, soft cheese, French production mix, at plant, 1 kg of soft cheese {FR} U;1,0;kg;;
Output;Chaource cheese, from cow's milk, consumption mix {FR} U;Chaource cheese, from cow's milk, consumption mix {FR} U;1,0;kg;;
Input;Chaource cheese, from cow's milk, consumption mix {FR} U;Chaource cheese production, from cow's milk, soft cheese, French production mix, at plant, 1 kg of Chaource soft cheese (PGi) {FR} U;1,0;kg;;
Output;Cheddar cheese, from cow's milk, consumption mix {FR} U;Cheddar cheese, from cow's milk, consumption mix {FR} U;1,0;kg;;
Input;Cheddar cheese, from cow's milk, consumption mix {FR} U;Cheddar cheese production, from cow's milk, hard cheese, French production mix, at plant, 1 kg of Cheddar cheese (PGi) {FR} U;1,0;kg;;
Output;Cheese, buche, from goat's milk, consumption mix {FR} U;Cheese, buche, from goat's milk, consumption mix {FR} U;1,0;kg;;
Input;Cheese, buche, from goat's milk, consumption mix {FR} U;Cheese, buche production, from goat's milk, soft cheese, French production mix, at plant, 1 kg of soft cheese {FR} U;1,0;kg;;
Output;Cheese, buche, from goat's milk, light, consumption mix {FR} U;Cheese, buche, from goat's milk, light, consumption mix {FR} U;1,0;kg;;
Input;Cheese, buche, from goat's milk, light, consumption mix {FR} U;Cheese, buche, light production, from goat's milk, soft cheese, French production mix, at plant, 1 kg of soft cheese {FR} U;1,0;kg;;
Output;Cheese, dry, from goat's milk, consumption mix {FR} U;Cheese, dry, from goat's milk, consumption mix {FR} U;1,0;kg;;
Input;Cheese, dry, from goat's milk, consumption mix {FR} U;Cheese, dry production, from goat's milk, hard cheese, French production mix, at plant, 1 kg of hard cheese {FR} U;1,0;kg;;
Output;Cheese, from goat's milk, consumption mix {FR} U;Cheese, from goat's milk, consumption mix {FR} U;1,0;kg;;
Input;Cheese, from goat's milk, consumption mix {FR} U;Goat cheese production, from goat's milk, soft cheese, French production mix, at plant, 1 kg of soft cheese {FR} U;1,0;kg;;
Output;Cheese, from goat's milk, fresh, consumption mix {FR} U;Cheese, from goat's milk, fresh, consumption mix {FR} U;1,0;kg;;
